# Original Filename:   bc03_ssp_z_0.02_chab.model
# zf:                  3.0
# SFH:                 SSP
# Metallicity (z):     0.02
# IMF:                 Chabrier
# Cosmology:           Om=0.2720 Ol=0.7280 h=0.7040 w=-1.0000
# Magnitude System:    AB
AB# Normalization        M(sloan_i) = -22.055 <type 'type'> mags @ z = 0.1
#
# Column Descriptions:
# 1 redshift
# 2 sloan_r rest-frame absolute magnitude
# 3 sloan_r observed-frame absolute magnitude
# 4 sloan_r apparent mangnitude
# 5 sloan_z rest-frame absolute magnitude
# 6 sloan_z observed-frame absolute magnitude
# 7 sloan_z apparent mangnitude
 1.200 -22.7795 -19.7395  24.8798 -23.3693 -22.1850  22.4342
 1.225 -22.8012 -19.6726  25.0026 -23.3837 -22.1472  22.5280
 1.250 -22.8242 -19.6304  25.0995 -23.3971 -22.1362  22.5937
 1.275 -22.8462 -19.5714  25.2123 -23.4100 -22.1349  22.6488
 1.300 -22.8668 -19.4909  25.3455 -23.4240 -22.1086  22.7277
 1.325 -22.8858 -19.3947  25.4933 -23.4394 -22.0836  22.8044
 1.350 -22.9047 -19.2975  25.6411 -23.4550 -22.0636  22.8750
 1.375 -22.9239 -19.2314  25.7569 -23.4714 -22.0390  22.9494
 1.400 -22.9508 -19.2118  25.8254 -23.4944 -22.0444  22.9928
 1.425 -22.9865 -19.2188  25.8663 -23.5258 -22.0402  23.0449
 1.450 -23.0273 -19.2405  25.8916 -23.5624 -22.0389  23.0933
 1.475 -23.0655 -19.2369  25.9415 -23.5979 -22.0599  23.1186
 1.500 -23.0995 -19.2212  26.0027 -23.6267 -22.0572  23.1667
 1.525 -23.1299 -19.1949  26.0737 -23.6498 -22.0670  23.2016
 1.550 -23.1593 -19.1606  26.1519 -23.6709 -22.0596  23.2529
 1.575 -23.1876 -19.1542  26.2015 -23.6910 -22.0620  23.2938
 1.600 -23.2158 -19.1883  26.2100 -23.7102 -22.0772  23.3212
 1.625 -23.2431 -19.2356  26.2046 -23.7285 -22.0884  23.3518
 1.650 -23.2698 -19.2942  26.1872 -23.7458 -22.0830  23.3984
 1.675 -23.2985 -19.3658  26.1562 -23.7666 -22.0889  23.4330
 1.700 -23.3274 -19.4251  26.1368 -23.7887 -22.0972  23.4647
 1.725 -23.3590 -19.4710  26.1303 -23.8123 -22.1057  23.4955
 1.750 -23.3904 -19.5058  26.1342 -23.8358 -22.1199  23.5201
 1.775 -23.4217 -19.5654  26.1128 -23.8575 -22.1227  23.5556
